,Gender,Country,Hired on,Terminated on,ACTION,Grade,Unnamed: 6,Unnamed: 7,Unnamed: 8,Ethnicity
74,F,2,03/03/2014,08/28/2015,1,1.0,,03/03/201408/28/2015,,White
75,M,2,05/07/2012,03/28/2014,1,1.0,,05/07/201203/28/2014,,White
76,F,2,11/08/2010,03/13/2015,1,1.0,,11/08/201003/13/2015,,White
77,M,2,06/21/2010,03/14/2014,1,1.0,,06/21/201003/14/2014,,White
78,M,1,03/25/2013,09/29/2015,1,1.0,,03/25/201309/29/2015,,White
79,M,2,01/07/2008,01/05/2015,1,1.0,,01/07/200801/05/2015,,White
80,M,2,01/26/2004,06/12/2015,1,6.0,,01/26/200406/12/2015,,White
81,M,2,04/28/2014,05/01/2015,1,1.0,,04/28/201405/01/2015,,White
82,M,2,04/09/2014,10/03/2014,1,5.0,,04/09/201410/03/2014,,White
83,M,1,01/27/2014,01/06/2016,1,1.0,,01/27/201401/06/2016,,White
84,M,2,05/21/2014,07/22/2015,1,1.0,,05/21/201407/22/2015,,White
85,M,2,08/19/1996,06/09/2015,2,1.0,,08/19/199606/09/2015,,White
86,F,2,06/03/2014,04/10/2015,1,1.0,,06/03/201404/10/2015,,White
87,F,1,10/29/2014,12/19/2016,1,1.0,,10/29/201412/19/2016,,White
88,F,1,11/03/2014,07/10/2015,1,1.0,,11/03/201407/10/2015,,White
89,M,2,11/26/2014,01/29/2015,2,3.0,,11/26/201401/29/2015,,White
90,M,2,11/10/2014,08/04/2015,2,1.0,,11/10/201408/04/2015,,White
91,M,2,11/03/2008,12/19/2014,1,3.0,,11/03/200812/19/2014,,White
92,M,1,02/05/2015,11/11/2016,1,1.0,,02/05/201511/11/2016,,White
93,M,2,02/09/2015,08/07/2015,1,1.0,,02/09/201508/07/2015,,White
94,M,1,03/30/2015,06/26/2015,1,1.0,,03/30/201506/26/2015,,White
95,M,2,03/23/2015,06/26/2015,1,1.0,,03/23/201506/26/2015,,White
96,F,2,05/18/2015,08/18/2015,1,1.0,,05/18/201508/18/2015,,White
97,M,1,03/19/2012,08/21/2015,1,1.0,,03/19/201208/21/2015,,White
98,F,1,08/10/2015,08/31/2016,1,1.0,,08/10/201508/31/2016,,White
99,F,2,09/05/2014,05/26/2016,1,4.0,,09/05/201405/26/2016,,White
100,M,2,10/06/2014,12/31/2015,1,4.0,,10/06/201412/31/2015,,White
101,M,2,12/01/2014,01/20/2016,1,1.0,,12/01/201401/20/2016,,White
102,M,2,01/21/2014,10/27/2015,1,1.0,,01/21/201410/27/2015,,White
103,M,2,09/28/2009,12/16/2016,2,2.0,,09/28/200912/16/2016,,White
104,M,2,11/30/2009,07/29/2016,1,1.0,,11/30/200907/29/2016,,White
105,F,2,01/03/2005,01/08/2016,2,1.0,,01/03/200501/08/2016,,White
106,M,2,02/01/2010,06/16/2016,1,2.0,,02/01/201006/16/2016,,White
107,M,2,04/01/2010,01/28/2016,1,1.0,,04/01/201001/28/2016,,White
108,M,2,02/09/2015,11/13/2015,2,1.0,,02/09/201511/13/2015,,White
