,rank,Video,Video views,Likes,Dislikes,Category,published
74,75,新時代 (ウタ from ONE PIECE FILM RED),"43,21,634","1,56,105",,Music,2022
75,76,Massimo Pericolo - Moneylove (Visual Video) ft. Emis Killa,"38,24,053","36,936",,Music,2023
76,77,La nevedere,"29,60,493","22,343",,Music,2022
77,78,CHAINSAW BLOOD / Vaundy：MUSIC VIDEO,"57,67,744","98,070",,Music,2022
78,79,"ILLENIUM, Jon Bellion - Good Things Fall Apart (Lyric Video)","34,74,334","1,08,128","1,292",Music,2019
79,80,"Chencho Corleone, Peso Pluma - HUMO (Official Video)","89,15,202","1,99,564",,Music,2024
80,81,we were in love (2024) (... 사랑했잖아... (2024)),"36,30,534","22,217",,Music,2024
81,82,"Yovie Widianto, Ziva Magnolya - Menanti (Official Music Video)","32,64,026","58,596",,Music,2023
82,83,"Jay Wheeler, Anuel AA, Hades66 - Pacto (Remix) (Official Video) ft. Bryant Myers, Dei V","1,66,51,507","5,17,095",,Music,2023
83,84,Aslay feat. Harmonize - Follow Me (Official Music Video),"13,97,658","44,137",,Music,2022
84,85,Eden Muñoz - todo me vale madre,"11,44,941","30,525",,Music,2024
85,86,ROSONES,"11,43,334","27,036",,Music,2024
86,87,Chlöe - Have Mercy (Official Video),"13,29,956","1,92,472","2,173",Music,2021
87,88,Sofia Castro - Te Juro No Te Miento (Official Video),"25,81,581","1,35,813",,Music,2024
88,89,Chema Rivas - LA ROJA (CANCIÓN MUNDIAL) (Video Oficial),"7,26,826","39,271",,Music,2022
89,90,Lil Loaded ft. YG - “Gang Unit Remix” (Official Video),"17,36,200","1,27,492","1,363",Music,2020
90,91,Ice Spice & Nicki Minaj - Princess Diana (Official Music Video),"4,59,90,411","11,28,880",,Music,2023
91,92,"Jay Wheeler, Dei V, Hades66 - Pacto (Official Video) ft. Luar La L","2,05,02,045","1,80,683",,Music,2023
92,93,MAX - Blueberry Eyes (feat. SUGA of BTS) [Official Music Video],"32,66,571","9,20,096","5,819",Music,2020
93,94,Teresa & Maria,"1,17,57,639","1,60,328",,Music,2024
94,95,Fedez - Prima di ogni cosa (Official Video),"48,33,788","2,02,477","7,131",Music,2018
95,96,"SEVDALIZA - ALIBI | Live From Vevo Studios ft. PABLLO VITTAR, YSEULT","53,68,532","2,23,418",,Music,2024
96,97,Luck Ra - ROBAME UN BESO (Official Video),"18,91,707","41,102",,Music,2024
97,98,AIELLO - ORA (Official Video - Sanremo 2021),"11,32,390","23,083",887,Music,2021
98,99,JADE - Angel Of My Dreams (Official Video),"53,96,154","2,14,969",,Music,2024
99,100,Sauti Sol - Lil Mama (Official Audio),"16,42,529","27,426",,Music,2022
100,101,Static & Ben El - Bella,"33,05,681","10,461",626,Music,2021
101,102,"Sabe que os mlk é drake, não é bigode não","14,15,045","18,770",,Music,2024
102,103,Destroy Lonely - if looks could kill (Official Music Video),"8,30,566","58,361",,Music,2023
103,104,偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物,"6,85,189","30,320",,Music,2024
104,105,Oxlade - KU LO SA (Official Video),"60,05,457","1,34,873",,Music,2022
105,106,Rauw Alejandro - Touching The Sky (Official Video),"31,39,901","1,09,406",,Music,2024
