,rank,Video,Video views,Likes,Dislikes,Category,published,Category_Autos & Vehicles,Category_Comedy,Category_Education,Category_Entertainment,Category_Film & Animation,Category_Gaming,Category_Howto & Style,Category_Music,Category_News & Politics,Category_Nonprofits & Activism,Category_People & Blogs,Category_Pets & Animals,Category_Science & Technology,Category_Sports,Category_Travel & Events
95,96,"SEVDALIZA - ALIBI | Live From Vevo Studios ft. PABLLO VITTAR, YSEULT","5,368,532","223,418",,Music,2024,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
96,97,Luck Ra - ROBAME UN BESO (Official Video),"1,891,707","41,102",,Music,2024,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
97,98,AIELLO - ORA (Official Video - Sanremo 2021),"1,132,390","23,083",887,Music,2021,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
98,99,JADE - Angel Of My Dreams (Official Video),"5,396,154","214,969",,Music,2024,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
99,100,Sauti Sol - Lil Mama (Official Audio),"1,642,529","27,426",,Music,2022,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
100,101,Static & Ben El - Bella,"3,305,681","10,461",626,Music,2021,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
101,102,"Sabe que os mlk é drake, não é bigode não","1,415,045","18,770",,Music,2024,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
102,103,Destroy Lonely - if looks could kill (Official Music Video),"830,566","58,361",,Music,2023,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
103,104,偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物,"685,189","30,320",,Music,2024,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
104,105,Oxlade - KU LO SA (Official Video),"6,005,457","134,873",,Music,2022,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
105,106,Rauw Alejandro - Touching The Sky (Official Video),"3,139,901","109,406",,Music,2024,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
106,107,Ricchi E Poveri - Ma non tutta la vita (Official Video) | Sanremo 2024,"6,849,596","59,198",,Music,2024,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
107,108,Trueno - PULL UP! (Official Video),"1,434,999","86,484",,Music,2024,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
108,109,"Fasma, GG - Parlami (Official Video - Sanremo 2021)","757,718","25,704",243,Music,2021,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
109,110,"ILLENIUM, Jon Bellion - Good Things Fall Apart","10,358,663","169,009","3,138",,2019,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
110,111,Isadora Pompeo - Tetelestai (Ao Vivo) ft. Carol Tauber,"1,205,733","34,861",,Music,2024,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
111,112,ARIETE - MARE DI GUAI (Official Video - Sanremo 2023),"1,130,141","17,689",,Music,2023,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
112,113,Dennis Lloyd - Never Go Back (Official Video),"720,437","26,772",274,Music,2019,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
113,114,Insta Vs Reality 😲😍 #travel #unrealplaces #explore #nature,"73,165,517","2,967,591",,Travel & Events,2024,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
114,115,"Sir Nicholas Winton - BBC Programme ""That's Life"" aired in 1988","39,407,674","97,009",747,Education,2009,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
