,rank,Video,Video views,Likes,Dislikes,Category,published
544,545,Zeze,"620,100","6,245",,Music,2024
578,579,Stephen Colbert 2011 Commencement Speech at Northwestern University,"1,142,028","7,520",105,Comedy,2011
670,671,Pouring water down a 50 meter well.,"669,007","7,414",343,People & Blogs,2018
804,805,Sparks - The Girl Is Crying In Her Latte (Official Video) - Starring Cate Blanchett,"370,731","13,803",,Music,2023
834,835,"Kitty Corliss ""Grinding the Crack""","7,165,556","47,671",866,Pets & Animals,2011
856,857,Град в Питере 22.07.17! Московские ворота.,"529,555","2,955",225,People & Blogs,2017
924,925,Kobe dunks over Shaq in practice (funny),"12,649,333","4,492","1,247",Sports,2006
935,936,Jean-Claude Juncker drunk and bitch slaps leaders,"2,668,268","5,378",576,People & Blogs,2015
